cluster_id,filepath,filename,class,split,sha256,strongest_similarity_category,category_label,cluster_size,review_status
cluster_0274,dataset/test/Healthy leaf/2025_11_21_IMG (135).JPG,2025_11_21_IMG (135).JPG,Healthy leaf,test,f20573097807823fa7d8ca6d06cb70cc716858f4b9dd5fb37850f3161d0c1910,A,exact byte duplicate,2,proposed grouping; verify visual relationships
cluster_0274,dataset/val/Healthy leaf/2025_11_21_IMG (136).JPG,2025_11_21_IMG (136).JPG,Healthy leaf,val,f20573097807823fa7d8ca6d06cb70cc716858f4b9dd5fb37850f3161d0c1910,A,exact byte duplicate,2,proposed grouping; verify visual relationships
cluster_0295,dataset/test/Healthy leaf/2025_11_21_IMG (254).JPG,2025_11_21_IMG (254).JPG,Healthy leaf,test,3b1bbe09bbe445b0f3e2452939c7e952a00a1929ae9997cecab53a536682f787,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_0295,dataset/val/Healthy leaf/2025_11_21_IMG (253).JPG,2025_11_21_IMG (253).JPG,Healthy leaf,val,9e922534eb2c946446440c694db7928c1a50379edc9600fc91d502dce03cef84,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_0296,dataset/test/Healthy leaf/2025_11_21_IMG (256).JPG,2025_11_21_IMG (256).JPG,Healthy leaf,test,c54caabd780fa0e39df9cf2719738aaeb7cfd6b09f8a669ba51eca661cbb96b3,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_0296,dataset/val/Healthy leaf/2025_11_21_IMG (257).JPG,2025_11_21_IMG (257).JPG,Healthy leaf,val,559fb5b9d0befd64f7a20533803d03b5cd81150dd1d69c51e02f32325ea82e7f,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_0302,dataset/test/Healthy leaf/2025_11_21_IMG (292).JPG,2025_11_21_IMG (292).JPG,Healthy leaf,test,7c8ad4e104117b1364f2d3484636d715f1ea1f3af1ab6fe2710575945f77838b,B,very-high-confidence visual duplicate,4,proposed grouping; verify visual relationships
cluster_0302,dataset/train/Healthy leaf/2025_11_21_IMG (289).JPG,2025_11_21_IMG (289).JPG,Healthy leaf,train,3ed6ca518428f8ec2ac4b55a828d8751ed1939a71147d038552c705d112e860d,B,very-high-confidence visual duplicate,4,proposed grouping; verify visual relationships
cluster_0302,dataset/train/Healthy leaf/2025_11_21_IMG (290).JPG,2025_11_21_IMG (290).JPG,Healthy leaf,train,239d861377ee7d88eb0b5af111efa9817031bb5aae54816844911f29849bec2f,B,very-high-confidence visual duplicate,4,proposed grouping; verify visual relationships
cluster_0302,dataset/val/Healthy leaf/2025_11_21_IMG (291).JPG,2025_11_21_IMG (291).JPG,Healthy leaf,val,5a1124b2d674283a44ab8121b7c07a48b3801890de1471930d0aa769fb7cce55,B,very-high-confidence visual duplicate,4,proposed grouping; verify visual relationships
cluster_0540,dataset/train/Black spot/2025_12_20_IMG (114).JPG,2025_12_20_IMG (114).JPG,Black spot,train,19671a840c3322b3c94cf5c7c2476e79e098ceffec12b7d6225ef5502a545e54,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_0540,dataset/train/Black spot/2025_12_20_IMG (115).JPG,2025_12_20_IMG (115).JPG,Black spot,train,bc366d373e7780a1e89d9bfc005b64241ffa1e67985a14768689545ea1f6afa0,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_0590,dataset/train/Black spot/2025_12_20_IMG (180).JPG,2025_12_20_IMG (180).JPG,Black spot,train,33d7e9a79d8f43b76fd3044fb50517986fa2ac23c1cb2c62a0149404da9fb755,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_0590,dataset/train/Black spot/2025_12_20_IMG (181).JPG,2025_12_20_IMG (181).JPG,Black spot,train,e241344be08bde3d31cca30de5e991aee747a2f1b8c732cd7fc1fbfd303dbf24,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_0728,dataset/train/Black spot/2025_12_20_IMG (56).JPG,2025_12_20_IMG (56).JPG,Black spot,train,6d67706244107547da446ef15e67c4f6d8da885541f0e1870744ea44bdb46685,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_0728,dataset/train/Black spot/2025_12_20_IMG (57).JPG,2025_12_20_IMG (57).JPG,Black spot,train,7aa5c3c04c2b41027e57c8f671a063766568193def3c486dac905731f1a387f2,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_0899,dataset/train/Citrus canker/2025_12_21_IMG (409).JPG,2025_12_21_IMG (409).JPG,Citrus canker,train,1ce367e916d7ca69c8e9db061cb949aacba08714d178be08fc0758a020580513,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_0899,dataset/train/Citrus canker/2025_12_21_IMG (410).JPG,2025_12_21_IMG (410).JPG,Citrus canker,train,e758ea5c3c2a3822e1e2f3bebf73d9ef998352ed89d886fae4f4f0d8235d01e6,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_0935,dataset/train/Citrus canker/2025_12_21_IMG (455).JPG,2025_12_21_IMG (455).JPG,Citrus canker,train,8997e0674ac12a4150bde345b958c414275aeba30744c1bc33de9eb0a90fe475,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_0935,dataset/train/Citrus canker/2025_12_21_IMG (456).JPG,2025_12_21_IMG (456).JPG,Citrus canker,train,02dad0a6545faf8d0b7d406e1e422abe11e019ef8918c19e97efc9828fe52e6b,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_1404,dataset/train/Greening/2025_12_21_IMG (250).JPG,2025_12_21_IMG (250).JPG,Greening,train,59693e42ea2ce7ef350d66e081eeeed1b96a5741b47408cfdf91701e0eee0ec6,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_1404,dataset/train/Greening/2025_12_21_IMG (251).JPG,2025_12_21_IMG (251).JPG,Greening,train,847c8744ad1428c8faee84c3f01e4698ad68194a8c73e731b30190845c995728,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_1591,dataset/train/Healthy leaf/2025_11_21_IMG (185).JPG,2025_11_21_IMG (185).JPG,Healthy leaf,train,059048d6355c6f653b70da7903f5b54d3ac555382c14dfc946f94dc4f197f81e,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_1591,dataset/val/Healthy leaf/2025_11_21_IMG (184).JPG,2025_11_21_IMG (184).JPG,Healthy leaf,val,ebee33a93c3854023ddbaf15b51f5eef65156c8018af730d2b10e47017983638,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_1664,dataset/train/Healthy leaf/2025_11_21_IMG (281).JPG,2025_11_21_IMG (281).JPG,Healthy leaf,train,e00491d4fb1666b6645d7c4dc6579a105422593d0d2e4a900976303255a7409d,A,exact byte duplicate,2,proposed grouping; verify visual relationships
cluster_1664,dataset/train/Healthy leaf/2025_11_21_IMG (282).JPG,2025_11_21_IMG (282).JPG,Healthy leaf,train,e00491d4fb1666b6645d7c4dc6579a105422593d0d2e4a900976303255a7409d,A,exact byte duplicate,2,proposed grouping; verify visual relationships
cluster_1875,dataset/val/Citrus canker/2025_12_21_IMG (519).JPG,2025_12_21_IMG (519).JPG,Citrus canker,val,67061638530c777f7d8db11f691e977156be1bb5c69db5c510dbb51944e4e1cb,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_1875,dataset/val/Citrus canker/2025_12_21_IMG (520).JPG,2025_12_21_IMG (520).JPG,Citrus canker,val,8aa0a459a1e46a80438cf7735acc7406bcc57a58cbaae99e94b3f912976268f5,B,very-high-confidence visual duplicate,2,proposed grouping; verify visual relationships
cluster_2033,dataset/val/Healthy leaf/2025_11_21_IMG (74).JPG,2025_11_21_IMG (74).JPG,Healthy leaf,val,22ffa7cc48bd89d39161f5dff67f7e1770f1bb11f059b7f0c7902a52c316c32f,A,exact byte duplicate,2,proposed grouping; verify visual relationships
cluster_2033,dataset/val/Healthy leaf/2025_11_21_IMG (75).JPG,2025_11_21_IMG (75).JPG,Healthy leaf,val,22ffa7cc48bd89d39161f5dff67f7e1770f1bb11f059b7f0c7902a52c316c32f,A,exact byte duplicate,2,proposed grouping; verify visual relationships
