filepath,filename,class,split,date_token,image_number
dataset/train/Algal leaf spot/2025_12_21_IMG (1).JPG,2025_12_21_IMG (1).JPG,Algal leaf spot,train,2025-12-21,1
dataset/train/Algal leaf spot/2025_12_21_IMG (10).JPG,2025_12_21_IMG (10).JPG,Algal leaf spot,train,2025-12-21,10
dataset/train/Algal leaf spot/2025_12_21_IMG (100).JPG,2025_12_21_IMG (100).JPG,Algal leaf spot,train,2025-12-21,100
dataset/train/Algal leaf spot/2025_12_21_IMG (102).JPG,2025_12_21_IMG (102).JPG,Algal leaf spot,train,2025-12-21,102
dataset/train/Algal leaf spot/2025_12_21_IMG (103).JPG,2025_12_21_IMG (103).JPG,Algal leaf spot,train,2025-12-21,103
dataset/train/Algal leaf spot/2025_12_21_IMG (104).JPG,2025_12_21_IMG (104).JPG,Algal leaf spot,train,2025-12-21,104
dataset/train/Algal leaf spot/2025_12_21_IMG (105).JPG,2025_12_21_IMG (105).JPG,Algal leaf spot,train,2025-12-21,105
dataset/train/Algal leaf spot/2025_12_21_IMG (106).JPG,2025_12_21_IMG (106).JPG,Algal leaf spot,train,2025-12-21,106
dataset/train/Algal leaf spot/2025_12_21_IMG (107).JPG,2025_12_21_IMG (107).JPG,Algal leaf spot,train,2025-12-21,107
dataset/train/Algal leaf spot/2025_12_21_IMG (108).JPG,2025_12_21_IMG (108).JPG,Algal leaf spot,train,2025-12-21,108
dataset/train/Algal leaf spot/2025_12_21_IMG (109).JPG,2025_12_21_IMG (109).JPG,Algal leaf spot,train,2025-12-21,109
dataset/train/Algal leaf spot/2025_12_21_IMG (114).JPG,2025_12_21_IMG (114).JPG,Algal leaf spot,train,2025-12-21,114
dataset/train/Algal leaf spot/2025_12_21_IMG (116).JPG,2025_12_21_IMG (116).JPG,Algal leaf spot,train,2025-12-21,116
dataset/train/Algal leaf spot/2025_12_21_IMG (117).JPG,2025_12_21_IMG (117).JPG,Algal leaf spot,train,2025-12-21,117
dataset/train/Algal leaf spot/2025_12_21_IMG (118).JPG,2025_12_21_IMG (118).JPG,Algal leaf spot,train,2025-12-21,118
dataset/train/Algal leaf spot/2025_12_21_IMG (120).JPG,2025_12_21_IMG (120).JPG,Algal leaf spot,train,2025-12-21,120
dataset/train/Algal leaf spot/2025_12_21_IMG (121).JPG,2025_12_21_IMG (121).JPG,Algal leaf spot,train,2025-12-21,121
dataset/train/Algal leaf spot/2025_12_21_IMG (122).JPG,2025_12_21_IMG (122).JPG,Algal leaf spot,train,2025-12-21,122
dataset/train/Algal leaf spot/2025_12_21_IMG (123).JPG,2025_12_21_IMG (123).JPG,Algal leaf spot,train,2025-12-21,123
dataset/train/Algal leaf spot/2025_12_21_IMG (124).JPG,2025_12_21_IMG (124).JPG,Algal leaf spot,train,2025-12-21,124
dataset/train/Algal leaf spot/2025_12_21_IMG (125).JPG,2025_12_21_IMG (125).JPG,Algal leaf spot,train,2025-12-21,125
dataset/train/Algal leaf spot/2025_12_21_IMG (126).JPG,2025_12_21_IMG (126).JPG,Algal leaf spot,train,2025-12-21,126
dataset/train/Algal leaf spot/2025_12_21_IMG (127).JPG,2025_12_21_IMG (127).JPG,Algal leaf spot,train,2025-12-21,127
dataset/train/Algal leaf spot/2025_12_21_IMG (128).JPG,2025_12_21_IMG (128).JPG,Algal leaf spot,train,2025-12-21,128
dataset/train/Algal leaf spot/2025_12_21_IMG (129).JPG,2025_12_21_IMG (129).JPG,Algal leaf spot,train,2025-12-21,129
dataset/train/Algal leaf spot/2025_12_21_IMG (13).JPG,2025_12_21_IMG (13).JPG,Algal leaf spot,train,2025-12-21,13
dataset/train/Algal leaf spot/2025_12_21_IMG (131).JPG,2025_12_21_IMG (131).JPG,Algal leaf spot,train,2025-12-21,131
dataset/train/Algal leaf spot/2025_12_21_IMG (132).JPG,2025_12_21_IMG (132).JPG,Algal leaf spot,train,2025-12-21,132
