filepath,filename,class,current_split,sha256,visual_group_id,visual_group_size,capture_sequence_id,review_status
dataset/test/Algal leaf spot/2025_12_21_IMG (101).JPG,2025_12_21_IMG (101).JPG,Algal leaf spot,test,7c526bef19c885bdcacf9994c28050858f9af434bdb5db84636c7a949cab3378,cluster_0001,1,,uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (11).JPG,2025_12_21_IMG (11).JPG,Algal leaf spot,test,3889cb7e5b45e5efac5e5ca3e354be16c8e087017b5d380a3db9b5b757b89f31,cluster_0002,1,sequence_0001,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (110).JPG,2025_12_21_IMG (110).JPG,Algal leaf spot,test,2278d11c6727ac669d2a668f358b36525150a25621ffdb46ca5f168cc1342e4a,cluster_0003,1,,uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (112).JPG,2025_12_21_IMG (112).JPG,Algal leaf spot,test,219fcfaf90f39be0f3c45640ae3811ad94510b8c8407076d0c367388e95d69d5,cluster_0004,1,,uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (113).JPG,2025_12_21_IMG (113).JPG,Algal leaf spot,test,0a6d4528246a7f07ad83658ba2818c6f26e5ffb68d6d8da36730cbf18e46b651,cluster_0005,1,,uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (119).JPG,2025_12_21_IMG (119).JPG,Algal leaf spot,test,5f85c280d4ddfe68e5eae343584b3d6e8a94b6192b4180ab42ddba48cd131c96,cluster_0006,1,sequence_0002,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (135).JPG,2025_12_21_IMG (135).JPG,Algal leaf spot,test,49fad4da16ea394ece9e4998fb33ea064c16e63b376e644cc5f9b76db9740777,cluster_0007,1,,uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (139).JPG,2025_12_21_IMG (139).JPG,Algal leaf spot,test,3f261f6ec0a49ee866eedfa6563dd0d33eb5eb0c564156af592d19ee78ea3ae9,cluster_0008,1,,uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (141).JPG,2025_12_21_IMG (141).JPG,Algal leaf spot,test,fa8c66ed153648b5f1e283b07c016110feca94f3c08f9ac965bc1a23413b5896,cluster_0009,1,sequence_0003,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (143).JPG,2025_12_21_IMG (143).JPG,Algal leaf spot,test,ac1c63e2f9b4f7d56eb787e413f05ca15e63bd971688e1abfc72fe69f613b033,cluster_0010,1,sequence_0004,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (146).JPG,2025_12_21_IMG (146).JPG,Algal leaf spot,test,729e9851af857b7d07af02f576691c30ace7f89d6fd69e0c0a16c49fd3024757,cluster_0011,1,sequence_0005,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (150).JPG,2025_12_21_IMG (150).JPG,Algal leaf spot,test,5566ce5b04be7023d31944a5073b5a9ee408a19e19f0b7f5d4c64d04bb79152c,cluster_0012,1,sequence_0006,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (156).JPG,2025_12_21_IMG (156).JPG,Algal leaf spot,test,1c864aef8055431a9435bf3c28f22cf8c7960e539cbae2b164c28f34ce540d32,cluster_0013,1,sequence_0007,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (163).JPG,2025_12_21_IMG (163).JPG,Algal leaf spot,test,c812dff7f4d4c0e8f1e6a0767865fe4043513239589cab5ef1dd682c528a6234,cluster_0014,1,sequence_0008,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (170).JPG,2025_12_21_IMG (170).JPG,Algal leaf spot,test,6c90f7b612c70542dbf57f65176a27acab6119765f62804d668acc64554cb19b,cluster_0015,1,sequence_0009,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (172).JPG,2025_12_21_IMG (172).JPG,Algal leaf spot,test,675fd3e26b23d60041c7b29aaef9429a65656bef0f5b3d734b373d7fbca9f649,cluster_0016,1,,uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (188).JPG,2025_12_21_IMG (188).JPG,Algal leaf spot,test,e3c746768774f126a389923b363ee1766e2b0d975761efacf1e7d41a87c416cf,cluster_0017,1,sequence_0010,candidate capture sequence requires verification; uncertain visual relationship requires review
dataset/test/Algal leaf spot/2025_12_21_IMG (190).JPG,2025_12_21_IMG (190).JPG,Algal leaf spot,test,ea16a9bd4d2abd884131bc437c993efe14bfb00c098109b268c12d8ad8a089f3,cluster_0018,1,,weak candidate only; singleton
dataset/test/Algal leaf spot/2025_12_21_IMG (199).JPG,2025_12_21_IMG (199).JPG,Algal leaf spot,test,961367dee7627ebe38965ea29eba23322e90966ca0243c38d165047f4f3cc907,cluster_0019,1,,uncertain visual relationship requires review
