filepath,filename,class,split,extension,width,height,mode,format,frames,file_size_bytes,sha256,decode_ok,error,pillow_warnings
dataset/train/Algal leaf spot/2025_12_21_IMG (1).JPG,2025_12_21_IMG (1).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,41553,e8deabec6be8f185cff4875552617d9a3c5b3ec613356cec28a22aa4d6e8ee98,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (10).JPG,2025_12_21_IMG (10).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,31530,58664ae5dc9734d41cd6b671c3621f754a812fad92207412080cf15732108eaa,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (100).JPG,2025_12_21_IMG (100).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,51910,19b1a10eb5c858a573da6cc499779aeea7ac495c9b77e1e58b2d9862c97de22f,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (102).JPG,2025_12_21_IMG (102).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,55292,a6798ec47d6e4b1a9932b7f31e1104e88c8a4aed495e78324980541736ace8bb,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (103).JPG,2025_12_21_IMG (103).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,54322,3f17f7c68aad7b5f290f3c18d93badba926f0115aef92880028e0a55b5db9795,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (104).JPG,2025_12_21_IMG (104).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,48649,3621ab506529d1409d01c264dad7927ef0b30bdcd17b5b774915680358889208,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (105).JPG,2025_12_21_IMG (105).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,50345,0bd4912f399e4d356ff49d4eefc8ebe56a681e6e3ae73d81040149e15be95ebd,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (106).JPG,2025_12_21_IMG (106).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,54654,e8f60dd7b62fbba4fb7da215b2e73809ce29ef2e0c0aa380b930bb78b6c9f322,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (107).JPG,2025_12_21_IMG (107).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,54119,b6e12bbac3989dd2097d4837d48a6914a848547d9b1aa60780d510b91d3fa785,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (108).JPG,2025_12_21_IMG (108).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,58956,7d2d8da62a68f4bdff38821d4aa8c66cdb7397916cebfb0c8ad06546948982aa,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (109).JPG,2025_12_21_IMG (109).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,60199,31febe4292d8c8c61863f3301da4ca8ac69877f8dd58bd081d64ad35f949ae9c,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (114).JPG,2025_12_21_IMG (114).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,52477,7b25e0a5d22a0102b1d5e8709ef353a6528818540ab2ea334b61f1abc1304383,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (116).JPG,2025_12_21_IMG (116).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,52454,8cf0a84747e5e2228144ee48cbc38e58fc92e5788067369c04b568ed72eac400,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (117).JPG,2025_12_21_IMG (117).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,49643,d05e4d5c4ea6208f9416d5d948c9f19e100d9f2fad7c2551edcd2d98bdd85cef,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (118).JPG,2025_12_21_IMG (118).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,48208,6cf305dd9b11191de88311b7639279879c06e1949cc57aaa6c2d3e932019421e,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (120).JPG,2025_12_21_IMG (120).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,47437,fbe880fb61b35acadc63df2a8e3ac6abbb43b6e2b57e9023fb754710b2d5b18a,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (121).JPG,2025_12_21_IMG (121).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,46380,7f7140d0cf6392a9e656af36dab5e28fdb4df74f9426a21a144cae24b03628c5,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (122).JPG,2025_12_21_IMG (122).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,45438,a15b9ca989133ed6866bc0a99d42b75a9907774df9d2800c6911f927f20deaa4,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (123).JPG,2025_12_21_IMG (123).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,46856,68dcf82c1409e524cae731ccef8de6e2a39f3e4a082deb4eec90ae11decd6aae,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (124).JPG,2025_12_21_IMG (124).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,55096,322a0d7745cb5eb4e674cbc9993c0fe2b28cfc36434ac8b0cb62cdaa40753710,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (125).JPG,2025_12_21_IMG (125).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,53751,8929caa9c928c5b2cf2f5311f61be9bbe3c678393b8eb17c3e827bd9637e6e3e,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (126).JPG,2025_12_21_IMG (126).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,53056,6821ed7e1d8f978575391bc0ffab8b790da4c9b16d97109d2b2b4279c4849540,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (127).JPG,2025_12_21_IMG (127).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,52672,83fc775b9958dc76e0dfaf81881535fa88d7113f4f5c3eb238b51dded7f48897,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (128).JPG,2025_12_21_IMG (128).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,53435,6c5e31e4bff9bd240a0bc5bccd4d00f652fa7224dc483b6deac118b6bfa98728,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (129).JPG,2025_12_21_IMG (129).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,53216,c97950a74ce9777d8c732776fe85a6b216383778f1d2f086d60fbe9d0f0f68d5,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (13).JPG,2025_12_21_IMG (13).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,46938,1be60080e1fd3249caa6a1fc3a74532bce72333c413dce8d49d9ae4ae3b93544,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (131).JPG,2025_12_21_IMG (131).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,47339,526dcf759f09e6edb42ebdb858105e1dd58be3c8ae856457ea48948636573c69,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (132).JPG,2025_12_21_IMG (132).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,45612,7d7c0fe2caf894be80c9d3b0f5d465e1cdcc62cfb4c18ce630bc0a70f7873c3b,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (133).JPG,2025_12_21_IMG (133).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,57178,58905c0b3c16655d6832ece7750bec1f260a64cf6c6d1ebe92fd03a420859f0a,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (134).JPG,2025_12_21_IMG (134).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,57229,66a506d32f483333bdf9d1f7a04a1440dd536a307e658e2603ab71b18ea7b297,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (137).JPG,2025_12_21_IMG (137).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,45370,c7baf52722a1e247c7cb2a7386d3a27cb82a9764352ac3a9ed306af726f5a0bd,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (14).JPG,2025_12_21_IMG (14).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,43334,9ff7f8d122991cb5e2d3a09169db1178906d0631f52debd1451a8c96ba59f983,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (140).JPG,2025_12_21_IMG (140).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,59705,00f9e6ede44cfb4e3f83d37a293cdee9f86f3e86696f6e368e2dd4502c9b5c87,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (142).JPG,2025_12_21_IMG (142).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,43296,e002ddd5a2a886a74d6d51e45c525c3d129bd59a5b263d2bb4a4e1358f4ba9e3,True,,
dataset/train/Algal leaf spot/2025_12_21_IMG (144).JPG,2025_12_21_IMG (144).JPG,Algal leaf spot,train,.jpg,560,420,RGB,JPEG,1,63655,fda2b98547491a2434100624bb0a9c49319ea1b0c8e15efa4fab616de233d50e,True,,
