pair_id,filepath_a,filepath_b,class_a,class_b,split_a,split_b,similarity_category,review_priority,human_decision,review_notes
pair_fda9158bbfa0a0780d61,dataset/test/Citrus canker/2025_12_21_IMG (342).JPG,dataset/train/Citrus canker/2025_12_21_IMG (341).JPG,Citrus canker,Citrus canker,test,train,C,388.04833,,
pair_3e0bf1dedea60d5059ca,dataset/test/Citrus pest/2025_12_20_IMG (210).JPG,dataset/train/Citrus pest/2025_12_20_IMG (211).JPG,Citrus pest,Citrus pest,test,train,C,387.971546,,
pair_25a2694ff244012ff7bf,dataset/test/Black spot/2025_12_20_IMG (53).JPG,dataset/train/Black spot/2025_12_20_IMG (54).JPG,Black spot,Black spot,test,train,C,387.475988,SAME_SOURCE,"Same leaf shape, lesions and background; consecutive capture."
pair_1c2dae0fa7db18f1ac06,dataset/test/Citrus canker/2025_12_21_IMG (374).JPG,dataset/train/Citrus canker/2025_12_21_IMG (375).JPG,Citrus canker,Citrus canker,test,train,C,387.462489,,
pair_acb0077049d73b29b590,dataset/test/Citrus canker/2025_12_21_IMG (431).JPG,dataset/train/Citrus canker/2025_12_21_IMG (430).JPG,Citrus canker,Citrus canker,test,train,C,387.370768,,
pair_5beed25e60799f5b4f06,dataset/test/Healthy leaf/2025_11_21_IMG (254).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (255).JPG,Healthy leaf,Healthy leaf,test,train,C,387.151931,,
pair_193158187c98565cbd7f,dataset/test/Algal leaf spot/2025_12_21_IMG (170).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (171).JPG,Algal leaf spot,Algal leaf spot,test,train,C,387.131921,,
pair_228c12bcc190d330752b,dataset/test/Black spot/2025_12_20_IMG (254).JPG,dataset/train/Black spot/2025_12_20_IMG (255).JPG,Black spot,Black spot,test,train,C,387.110974,,
pair_dc48a30a3be0a4e62c2e,dataset/test/Algal leaf spot/2025_12_21_IMG (20).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (19).JPG,Algal leaf spot,Algal leaf spot,test,train,C,387.105229,,
pair_4b3d6333c05cae4bcfcc,dataset/test/Citrus pest/2025_12_20_IMG (404).JPG,dataset/train/Citrus pest/2025_12_20_IMG (403).JPG,Citrus pest,Citrus pest,test,train,C,387.095464,,
pair_c8c00926705e98b6daa6,dataset/test/Healthy leaf/2025_11_21_IMG (80).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (81).JPG,Healthy leaf,Healthy leaf,test,train,C,387.082423,,
pair_e8fdf157fb9566891d29,dataset/test/Black spot/2025_12_20_IMG (225).JPG,dataset/train/Black spot/2025_12_20_IMG (226).JPG,Black spot,Black spot,test,train,C,387.07213,,
pair_7a247e12e66b77d5bd99,dataset/test/Algal leaf spot/2025_12_21_IMG (163).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (162).JPG,Algal leaf spot,Algal leaf spot,test,train,C,386.688994,,
pair_225ec2fde8ca6b67a8b9,dataset/test/Algal leaf spot/2025_12_21_IMG (274).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (275).JPG,Algal leaf spot,Algal leaf spot,test,train,C,386.684781,,
pair_9f9c8ac672587fb9dbb2,dataset/test/Healthy leaf/2025_11_21_IMG (172).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (171).JPG,Healthy leaf,Healthy leaf,test,train,C,386.669059,,
pair_54975de0e2e7b9301bd0,dataset/test/Algal leaf spot/2025_12_21_IMG (141).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (142).JPG,Algal leaf spot,Algal leaf spot,test,train,C,386.624607,,
pair_fbd0e2435beeffd8f093,dataset/test/Citrus pest/2025_12_20_IMG (283).JPG,dataset/train/Citrus pest/2025_12_20_IMG (284).JPG,Citrus pest,Citrus pest,test,train,C,386.59689,,
pair_ce4255dd32def7d5b5e0,dataset/test/Citrus pest/2025_12_20_IMG (215).JPG,dataset/train/Citrus pest/2025_12_20_IMG (214).JPG,Citrus pest,Citrus pest,test,train,C,386.573536,,
pair_6107c9a2f1cf36575013,dataset/test/Citrus pest/2025_12_20_IMG (315).JPG,dataset/train/Citrus pest/2025_12_20_IMG (316).JPG,Citrus pest,Citrus pest,test,train,C,386.424583,,
pair_da69e46b7accf3159f6b,dataset/test/Citrus pest/2025_12_20_IMG (380).JPG,dataset/train/Citrus pest/2025_12_20_IMG (379).JPG,Citrus pest,Citrus pest,test,train,C,386.406632,,
pair_2bbaf6f8c05620e9628a,dataset/test/Greening/2025_12_21_IMG (5).JPG,dataset/train/Greening/2025_12_21_IMG (6).JPG,Greening,Greening,test,train,C,386.392004,,
pair_e6510e2dbdda70c62009,dataset/test/Black spot/2025_12_20_IMG (139).JPG,dataset/train/Black spot/2025_12_20_IMG (140).JPG,Black spot,Black spot,test,train,C,386.37542,,
pair_a0ad399b2eb0f18324e3,dataset/test/Healthy leaf/2025_11_21_IMG (79).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (78).JPG,Healthy leaf,Healthy leaf,test,train,C,386.370537,,
pair_947b9b62a92c9818779a,dataset/test/Citrus canker/2025_12_21_IMG (564).JPG,dataset/train/Citrus canker/2025_12_21_IMG (563).JPG,Citrus canker,Citrus canker,test,train,C,386.333102,,
pair_4f8a6447cee48f90fca1,dataset/test/Algal leaf spot/2025_12_21_IMG (79).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (80).JPG,Algal leaf spot,Algal leaf spot,test,train,C,386.169815,,
pair_4d69746519bf01c26e04,dataset/test/Citrus canker/2025_12_21_IMG (344).JPG,dataset/train/Citrus canker/2025_12_21_IMG (343).JPG,Citrus canker,Citrus canker,test,train,C,386.042479,,
pair_9f6a9ac57443113c28be,dataset/test/Healthy leaf/2025_11_21_IMG (11).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (10).JPG,Healthy leaf,Healthy leaf,test,train,C,386.034341,,
pair_f4e211845dd730397dc8,dataset/test/Citrus canker/2025_12_21_IMG (416).JPG,dataset/train/Citrus canker/2025_12_21_IMG (417).JPG,Citrus canker,Citrus canker,test,train,C,386.01271,,
pair_199fa6fbf066b2ccf48c,dataset/test/Black spot/2025_12_20_IMG (20).JPG,dataset/train/Black spot/2025_12_20_IMG (22).JPG,Black spot,Black spot,test,train,C,385.87361,,
pair_14ad5297d4c267e33ef9,dataset/test/Citrus canker/2025_12_21_IMG (548).JPG,dataset/train/Citrus canker/2025_12_21_IMG (547).JPG,Citrus canker,Citrus canker,test,train,C,385.860714,,
pair_3cfc787c451de61ba43b,dataset/test/Algal leaf spot/2025_12_21_IMG (305).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (304).JPG,Algal leaf spot,Algal leaf spot,test,train,C,385.845512,,
pair_978619d6e4733f355d9b,dataset/test/Algal leaf spot/2025_12_21_IMG (156).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (157).JPG,Algal leaf spot,Algal leaf spot,test,train,C,385.837114,,
pair_cd365e3289b697d0012b,dataset/test/Greening/2025_12_21_IMG (258).JPG,dataset/train/Greening/2025_12_21_IMG (259).JPG,Greening,Greening,test,train,C,385.795877,,
pair_93aaed4e2f818745c502,dataset/test/Citrus canker/2025_12_21_IMG (562).JPG,dataset/train/Citrus canker/2025_12_21_IMG (561).JPG,Citrus canker,Citrus canker,test,train,C,385.705517,,
pair_124faabc28f60d9c9df9,dataset/test/Citrus canker/2025_12_21_IMG (378).JPG,dataset/train/Citrus canker/2025_12_21_IMG (379).JPG,Citrus canker,Citrus canker,test,train,C,385.693071,,
pair_1b1e69ab3f82095a4919,dataset/test/Citrus pest/2025_12_20_IMG (234).JPG,dataset/train/Citrus pest/2025_12_20_IMG (233).JPG,Citrus pest,Citrus pest,test,train,C,385.627296,,
pair_4729322ffd5a13d9199b,dataset/test/Algal leaf spot/2025_12_21_IMG (234).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (235).JPG,Algal leaf spot,Algal leaf spot,test,train,C,385.623111,,
pair_b17c1b39ae923d2041bf,dataset/test/Citrus pest/2025_12_20_IMG (207).JPG,dataset/train/Citrus pest/2025_12_20_IMG (206).JPG,Citrus pest,Citrus pest,test,train,C,385.584979,,
pair_f753c3b3691a7451b88a,dataset/test/Healthy leaf/2025_11_21_IMG (292).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (290).JPG,Healthy leaf,Healthy leaf,test,train,B,385.574419,,
pair_df2ea1e2583c549f0c94,dataset/test/Greening/2025_12_21_IMG (256).JPG,dataset/train/Greening/2025_12_21_IMG (255).JPG,Greening,Greening,test,train,C,385.463339,,
pair_575e0c335bb0aa8cf55c,dataset/test/Citrus pest/2025_12_20_IMG (282).JPG,dataset/train/Citrus pest/2025_12_20_IMG (284).JPG,Citrus pest,Citrus pest,test,train,C,385.409668,,
pair_a2b979b1c729b8b3bd2c,dataset/test/Algal leaf spot/2025_12_21_IMG (156).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (158).JPG,Algal leaf spot,Algal leaf spot,test,train,C,385.404929,,
pair_33ac63afb937b96d3b60,dataset/test/Greening/2025_12_21_IMG (258).JPG,dataset/train/Greening/2025_12_21_IMG (257).JPG,Greening,Greening,test,train,C,385.384257,,
pair_71ff63e223f777b5f882,dataset/test/Citrus pest/2025_12_20_IMG (303).JPG,dataset/train/Citrus pest/2025_12_20_IMG (302).JPG,Citrus pest,Citrus pest,test,train,C,385.333753,,
pair_5f7f1d831b991dc4bbd0,dataset/test/Algal leaf spot/2025_12_21_IMG (258).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (259).JPG,Algal leaf spot,Algal leaf spot,test,train,C,385.330785,,
pair_3ab6db5f284dc0aba484,dataset/test/Healthy leaf/2025_11_21_IMG (254).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (252).JPG,Healthy leaf,Healthy leaf,test,train,C,385.253233,,
pair_f8016b82441581b5dc7a,dataset/test/Citrus canker/2025_12_21_IMG (431).JPG,dataset/train/Citrus canker/2025_12_21_IMG (429).JPG,Citrus canker,Citrus canker,test,train,C,385.202511,,
pair_d79a41f8292e5c1dadc9,dataset/test/Healthy leaf/2025_11_21_IMG (2).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (1).JPG,Healthy leaf,Healthy leaf,test,train,C,385.158909,,
pair_2cf42dbb202922004e43,dataset/test/Citrus canker/2025_12_21_IMG (385).JPG,dataset/train/Citrus canker/2025_12_21_IMG (384).JPG,Citrus canker,Citrus canker,test,train,C,385.148877,,
pair_455210161adb32054372,dataset/test/Algal leaf spot/2025_12_21_IMG (78).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (80).JPG,Algal leaf spot,Algal leaf spot,test,train,C,385.136976,,
pair_55204cd593d2a50d3dab,dataset/test/Citrus canker/2025_12_21_IMG (342).JPG,dataset/train/Citrus canker/2025_12_21_IMG (343).JPG,Citrus canker,Citrus canker,test,train,C,385.118718,,
pair_668442580264965e0a93,dataset/test/Black spot/2025_12_20_IMG (141).JPG,dataset/train/Black spot/2025_12_20_IMG (140).JPG,Black spot,Black spot,test,train,C,385.086166,,
pair_636ed756b32e537d47f4,dataset/test/Algal leaf spot/2025_12_21_IMG (11).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (10).JPG,Algal leaf spot,Algal leaf spot,test,train,C,385.053258,,
pair_6b413aa3fca218a910d4,dataset/test/Algal leaf spot/2025_12_21_IMG (20).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (18).JPG,Algal leaf spot,Algal leaf spot,test,train,C,385.014331,,
pair_64208158d9c16ee74a28,dataset/test/Citrus canker/2025_12_21_IMG (376).JPG,dataset/train/Citrus canker/2025_12_21_IMG (377).JPG,Citrus canker,Citrus canker,test,train,C,384.987477,,
pair_b393c1afa6c8ee301138,dataset/test/Citrus pest/2025_12_20_IMG (263).JPG,dataset/train/Citrus pest/2025_12_20_IMG (262).JPG,Citrus pest,Citrus pest,test,train,C,384.925991,,
pair_e6d017e2861f1dff0039,dataset/test/Greening/2025_12_21_IMG (256).JPG,dataset/train/Greening/2025_12_21_IMG (257).JPG,Greening,Greening,test,train,C,384.818999,,
pair_7f75135cebde706e81c4,dataset/test/Healthy leaf/2025_11_21_IMG (227).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (226).JPG,Healthy leaf,Healthy leaf,test,train,C,384.800138,,
pair_aab7af11cf044b0f4fcc,dataset/test/Black spot/2025_12_20_IMG (135).JPG,dataset/train/Black spot/2025_12_20_IMG (134).JPG,Black spot,Black spot,test,train,C,384.799516,,
pair_3c8027829a22504452ad,dataset/test/Healthy leaf/2025_11_21_IMG (264).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (263).JPG,Healthy leaf,Healthy leaf,test,train,C,384.755119,,
