filepath_a,filename_a,split_a,class_a,filepath_b,filename_b,split_b,class_b,hamming_distance,similarity_score,review_status
dataset/train/Algal leaf spot/2025_12_21_IMG (1).JPG,2025_12_21_IMG (1).JPG,train,Algal leaf spot,dataset/test/Algal leaf spot/2025_12_21_IMG (310).JPG,2025_12_21_IMG (310).JPG,test,Algal leaf spot,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (137).JPG,2025_12_21_IMG (137).JPG,train,Algal leaf spot,dataset/val/Algal leaf spot/2025_12_21_IMG (136).JPG,2025_12_21_IMG (136).JPG,val,Algal leaf spot,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (175).JPG,2025_12_21_IMG (175).JPG,train,Algal leaf spot,dataset/val/Algal leaf spot/2025_12_21_IMG (174).JPG,2025_12_21_IMG (174).JPG,val,Algal leaf spot,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (186).JPG,2025_12_21_IMG (186).JPG,train,Algal leaf spot,dataset/val/Algal leaf spot/2025_12_21_IMG (187).JPG,2025_12_21_IMG (187).JPG,val,Algal leaf spot,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (198).JPG,2025_12_21_IMG (198).JPG,train,Algal leaf spot,dataset/test/Algal leaf spot/2025_12_21_IMG (199).JPG,2025_12_21_IMG (199).JPG,test,Algal leaf spot,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (207).JPG,2025_12_21_IMG (207).JPG,train,Algal leaf spot,dataset/test/Algal leaf spot/2025_12_21_IMG (206).JPG,2025_12_21_IMG (206).JPG,test,Algal leaf spot,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (207).JPG,2025_12_21_IMG (207).JPG,train,Algal leaf spot,dataset/val/Algal leaf spot/2025_12_21_IMG (205).JPG,2025_12_21_IMG (205).JPG,val,Algal leaf spot,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (279).JPG,2025_12_21_IMG (279).JPG,train,Algal leaf spot,dataset/val/Algal leaf spot/2025_12_21_IMG (278).JPG,2025_12_21_IMG (278).JPG,val,Algal leaf spot,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (280).JPG,2025_12_21_IMG (280).JPG,train,Algal leaf spot,dataset/val/Algal leaf spot/2025_12_21_IMG (278).JPG,2025_12_21_IMG (278).JPG,val,Algal leaf spot,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (77).JPG,2025_12_21_IMG (77).JPG,train,Algal leaf spot,dataset/test/Algal leaf spot/2025_12_21_IMG (78).JPG,2025_12_21_IMG (78).JPG,test,Algal leaf spot,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Algal leaf spot/2025_12_21_IMG (80).JPG,2025_12_21_IMG (80).JPG,train,Algal leaf spot,dataset/test/Algal leaf spot/2025_12_21_IMG (78).JPG,2025_12_21_IMG (78).JPG,test,Algal leaf spot,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Black spot/2025_12_20_IMG (200).JPG,2025_12_20_IMG (200).JPG,train,Black spot,dataset/test/Black spot/2025_12_20_IMG (201).JPG,2025_12_20_IMG (201).JPG,test,Black spot,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Black spot/2025_12_20_IMG (6).JPG,2025_12_20_IMG (6).JPG,train,Black spot,dataset/val/Black spot/2025_12_20_IMG (7).JPG,2025_12_20_IMG (7).JPG,val,Black spot,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Citrus canker/2025_12_21_IMG (208).JPG,2025_12_21_IMG (208).JPG,train,Citrus canker,dataset/test/Black spot/2025_12_20_IMG (146).JPG,2025_12_20_IMG (146).JPG,test,Black spot,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Citrus canker/2025_12_21_IMG (208).JPG,2025_12_21_IMG (208).JPG,train,Citrus canker,dataset/val/Black spot/2025_12_20_IMG (145).JPG,2025_12_20_IMG (145).JPG,val,Black spot,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Citrus canker/2025_12_21_IMG (341).JPG,2025_12_21_IMG (341).JPG,train,Citrus canker,dataset/test/Citrus canker/2025_12_21_IMG (342).JPG,2025_12_21_IMG (342).JPG,test,Citrus canker,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Citrus canker/2025_12_21_IMG (486).JPG,2025_12_21_IMG (486).JPG,train,Citrus canker,dataset/val/Citrus canker/2025_12_21_IMG (487).JPG,2025_12_21_IMG (487).JPG,val,Citrus canker,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Citrus canker/2025_12_21_IMG (544).JPG,2025_12_21_IMG (544).JPG,train,Citrus canker,dataset/val/Citrus canker/2025_12_21_IMG (545).JPG,2025_12_21_IMG (545).JPG,val,Citrus canker,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Citrus canker/2025_12_21_IMG (546).JPG,2025_12_21_IMG (546).JPG,train,Citrus canker,dataset/val/Citrus canker/2025_12_21_IMG (545).JPG,2025_12_21_IMG (545).JPG,val,Citrus canker,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (211).JPG,2025_12_20_IMG (211).JPG,train,Citrus pest,dataset/test/Citrus pest/2025_12_20_IMG (210).JPG,2025_12_20_IMG (210).JPG,test,Citrus pest,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (291).JPG,2025_12_20_IMG (291).JPG,train,Citrus pest,dataset/val/Citrus pest/2025_12_20_IMG (290).JPG,2025_12_20_IMG (290).JPG,val,Citrus pest,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (389).JPG,2025_12_20_IMG (389).JPG,train,Citrus pest,dataset/test/Citrus pest/2025_12_20_IMG (387).JPG,2025_12_20_IMG (387).JPG,test,Citrus pest,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (389).JPG,2025_12_20_IMG (389).JPG,train,Citrus pest,dataset/test/Citrus pest/2025_12_20_IMG (388).JPG,2025_12_20_IMG (388).JPG,test,Citrus pest,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (393).JPG,2025_12_20_IMG (393).JPG,train,Citrus pest,dataset/test/Citrus pest/2025_12_20_IMG (394).JPG,2025_12_20_IMG (394).JPG,test,Citrus pest,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Citrus pest/2025_12_20_IMG (402).JPG,2025_12_20_IMG (402).JPG,train,Citrus pest,dataset/test/Citrus pest/2025_12_20_IMG (404).JPG,2025_12_20_IMG (404).JPG,test,Citrus pest,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Greening/2025_12_21_IMG (275).JPG,2025_12_21_IMG (275).JPG,train,Greening,dataset/test/Greening/2025_12_21_IMG (274).JPG,2025_12_21_IMG (274).JPG,test,Greening,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Healthy leaf/2025_11_21_IMG (290).JPG,2025_11_21_IMG (290).JPG,train,Healthy leaf,dataset/test/Healthy leaf/2025_11_21_IMG (292).JPG,2025_11_21_IMG (292).JPG,test,Healthy leaf,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Healthy leaf/2025_11_21_IMG (67).JPG,2025_11_21_IMG (67).JPG,train,Healthy leaf,dataset/val/Healthy leaf/2025_11_21_IMG (66).JPG,2025_11_21_IMG (66).JPG,val,Healthy leaf,0,1.0,near-duplicate candidate requiring manual review
dataset/train/Healthy leaf/2025_11_21_IMG (81).JPG,2025_11_21_IMG (81).JPG,train,Healthy leaf,dataset/test/Healthy leaf/2025_11_21_IMG (80).JPG,2025_11_21_IMG (80).JPG,test,Healthy leaf,0,1.0,near-duplicate candidate requiring manual review
dataset/val/Algal leaf spot/2025_12_21_IMG (205).JPG,2025_12_21_IMG (205).JPG,val,Algal leaf spot,dataset/test/Algal leaf spot/2025_12_21_IMG (206).JPG,2025_12_21_IMG (206).JPG,test,Algal leaf spot,0,1.0,near-duplicate candidate requiring manual review
dataset/val/Algal leaf spot/2025_12_21_IMG (253).JPG,2025_12_21_IMG (253).JPG,val,Algal leaf spot,dataset/test/Algal leaf spot/2025_12_21_IMG (254).JPG,2025_12_21_IMG (254).JPG,test,Algal leaf spot,0,1.0,near-duplicate candidate requiring manual review
dataset/val/Black spot/2025_12_20_IMG (145).JPG,2025_12_20_IMG (145).JPG,val,Black spot,dataset/test/Black spot/2025_12_20_IMG (146).JPG,2025_12_20_IMG (146).JPG,test,Black spot,0,1.0,near-duplicate candidate requiring manual review
dataset/val/Black spot/2025_12_20_IMG (257).JPG,2025_12_20_IMG (257).JPG,val,Black spot,dataset/test/Black spot/2025_12_20_IMG (256).JPG,2025_12_20_IMG (256).JPG,test,Black spot,0,1.0,near-duplicate candidate requiring manual review
dataset/val/Black spot/2025_12_20_IMG (257).JPG,2025_12_20_IMG (257).JPG,val,Black spot,dataset/test/Black spot/2025_12_20_IMG (258).JPG,2025_12_20_IMG (258).JPG,test,Black spot,0,1.0,near-duplicate candidate requiring manual review
