refined_capture_group_id,filepath,filename,class,split,date_token,image_number,prior_capture_sequence_id,group_size,supporting_categories,max_incident_phash,max_incident_mae,supporting_pair_ids,review_status
capture_review_636ed756b32e,dataset/test/Algal leaf spot/2025_12_21_IMG (11).JPG,2025_12_21_IMG (11).JPG,Algal leaf spot,test,2025-12-21,11,sequence_0001,2,C,4,0.0146564170718193,pair_636ed756b32e537d47f4,candidate capture sequence requiring human verification
capture_review_636ed756b32e,dataset/train/Algal leaf spot/2025_12_21_IMG (10).JPG,2025_12_21_IMG (10).JPG,Algal leaf spot,train,2025-12-21,10,sequence_0001,2,C,4,0.0146564170718193,pair_636ed756b32e537d47f4,candidate capture sequence requiring human verification
capture_review_f63bc63e2cad,dataset/test/Algal leaf spot/2025_12_21_IMG (119).JPG,2025_12_21_IMG (119).JPG,Algal leaf spot,test,2025-12-21,119,sequence_0002,2,C,4,0.0175567418336868,pair_f63bc63e2cade7ea024c,candidate capture sequence requiring human verification
capture_review_f63bc63e2cad,dataset/train/Algal leaf spot/2025_12_21_IMG (120).JPG,2025_12_21_IMG (120).JPG,Algal leaf spot,train,2025-12-21,120,sequence_0002,2,C,4,0.0175567418336868,pair_f63bc63e2cade7ea024c,candidate capture sequence requiring human verification
capture_review_54975de0e2e7,dataset/test/Algal leaf spot/2025_12_21_IMG (141).JPG,2025_12_21_IMG (141).JPG,Algal leaf spot,test,2025-12-21,141,sequence_0003,2,C,0,0.0085388580337166,pair_54975de0e2e7b9301bd0,candidate capture sequence requiring human verification
capture_review_54975de0e2e7,dataset/train/Algal leaf spot/2025_12_21_IMG (142).JPG,2025_12_21_IMG (142).JPG,Algal leaf spot,train,2025-12-21,142,sequence_0003,2,C,0,0.0085388580337166,pair_54975de0e2e7b9301bd0,candidate capture sequence requiring human verification
capture_review_40df3c5b7a5b,dataset/test/Algal leaf spot/2025_12_21_IMG (143).JPG,2025_12_21_IMG (143).JPG,Algal leaf spot,test,2025-12-21,143,sequence_0004,2,C,4,0.0194990187883377,pair_40df3c5b7a5bb25000b6,candidate capture sequence requiring human verification
capture_review_40df3c5b7a5b,dataset/train/Algal leaf spot/2025_12_21_IMG (144).JPG,2025_12_21_IMG (144).JPG,Algal leaf spot,train,2025-12-21,144,sequence_0004,2,C,4,0.0194990187883377,pair_40df3c5b7a5bb25000b6,candidate capture sequence requiring human verification
capture_review_03e5a3d5d1e6,dataset/test/Algal leaf spot/2025_12_21_IMG (146).JPG,2025_12_21_IMG (146).JPG,Algal leaf spot,test,2025-12-21,146,sequence_0005,2,C,0,0.0110948355868458,pair_03e5a3d5d1e6220df31f,candidate capture sequence requiring human verification
capture_review_03e5a3d5d1e6,dataset/val/Algal leaf spot/2025_12_21_IMG (145).JPG,2025_12_21_IMG (145).JPG,Algal leaf spot,val,2025-12-21,145,sequence_0005,2,C,0,0.0110948355868458,pair_03e5a3d5d1e6220df31f,candidate capture sequence requiring human verification
capture_review_208dde1622cb,dataset/test/Algal leaf spot/2025_12_21_IMG (150).JPG,2025_12_21_IMG (150).JPG,Algal leaf spot,test,2025-12-21,150,sequence_0006,2,C,2,0.0223840251564979,pair_208dde1622cbf8a3d30f,candidate capture sequence requiring human verification
capture_review_208dde1622cb,dataset/train/Algal leaf spot/2025_12_21_IMG (149).JPG,2025_12_21_IMG (149).JPG,Algal leaf spot,train,2025-12-21,149,sequence_0006,2,C,2,0.0223840251564979,pair_208dde1622cbf8a3d30f,candidate capture sequence requiring human verification
capture_review_40c81495b27f,dataset/test/Algal leaf spot/2025_12_21_IMG (156).JPG,2025_12_21_IMG (156).JPG,Algal leaf spot,test,2025-12-21,156,sequence_0007,4,C,2,0.0122689427807927,pair_978619d6e4733f355d9b,candidate capture sequence requiring human verification
capture_review_40c81495b27f,dataset/train/Algal leaf spot/2025_12_21_IMG (157).JPG,2025_12_21_IMG (157).JPG,Algal leaf spot,train,2025-12-21,157,sequence_0007,4,C,2,0.0145345041528344,pair_978619d6e4733f355d9b|pair_c54e2752d2c7499a0bb3,candidate capture sequence requiring human verification
capture_review_40c81495b27f,dataset/train/Algal leaf spot/2025_12_21_IMG (158).JPG,2025_12_21_IMG (158).JPG,Algal leaf spot,train,2025-12-21,158,sequence_0007,4,C,4,0.0287568923085927,pair_872dbe329dbd6ad77ef1|pair_c54e2752d2c7499a0bb3,candidate capture sequence requiring human verification
capture_review_40c81495b27f,dataset/train/Algal leaf spot/2025_12_21_IMG (159).JPG,2025_12_21_IMG (159).JPG,Algal leaf spot,train,2025-12-21,159,sequence_0007,4,C,4,0.0287568923085927,pair_872dbe329dbd6ad77ef1,candidate capture sequence requiring human verification
capture_review_7a247e12e66b,dataset/test/Algal leaf spot/2025_12_21_IMG (163).JPG,2025_12_21_IMG (163).JPG,Algal leaf spot,test,2025-12-21,163,sequence_0008,2,C,0,0.0104967700317502,pair_7a247e12e66b77d5bd99,candidate capture sequence requiring human verification
capture_review_7a247e12e66b,dataset/train/Algal leaf spot/2025_12_21_IMG (162).JPG,2025_12_21_IMG (162).JPG,Algal leaf spot,train,2025-12-21,162,sequence_0008,2,C,0,0.0104967700317502,pair_7a247e12e66b77d5bd99,candidate capture sequence requiring human verification
capture_review_193158187c98,dataset/test/Algal leaf spot/2025_12_21_IMG (170).JPG,2025_12_21_IMG (170).JPG,Algal leaf spot,test,2025-12-21,170,sequence_0009,2,C,2,0.005785334855318,pair_193158187c98565cbd7f,candidate capture sequence requiring human verification
capture_review_193158187c98,dataset/train/Algal leaf spot/2025_12_21_IMG (171).JPG,2025_12_21_IMG (171).JPG,Algal leaf spot,train,2025-12-21,171,sequence_0009,2,C,2,0.005785334855318,pair_193158187c98565cbd7f,candidate capture sequence requiring human verification
capture_review_87f5e09f5eb4,dataset/test/Algal leaf spot/2025_12_21_IMG (188).JPG,2025_12_21_IMG (188).JPG,Algal leaf spot,test,2025-12-21,188,sequence_0010,2,C,4,0.0197204984724521,pair_87f5e09f5eb42cc44741,candidate capture sequence requiring human verification
capture_review_87f5e09f5eb4,dataset/val/Algal leaf spot/2025_12_21_IMG (187).JPG,2025_12_21_IMG (187).JPG,Algal leaf spot,val,2025-12-21,187,sequence_0010,2,C,4,0.0197204984724521,pair_87f5e09f5eb42cc44741,candidate capture sequence requiring human verification
capture_review_a524f9111287,dataset/test/Algal leaf spot/2025_12_21_IMG (2).JPG,2025_12_21_IMG (2).JPG,Algal leaf spot,test,2025-12-21,2,sequence_0011,3,C,2,0.0223055183887481,pair_5f6816424d533d18a504,candidate capture sequence requiring human verification
capture_review_a524f9111287,dataset/train/Algal leaf spot/2025_12_21_IMG (3).JPG,2025_12_21_IMG (3).JPG,Algal leaf spot,train,2025-12-21,3,sequence_0011,3,C,2,0.0223055183887481,pair_1c33999f614eb4700154|pair_5f6816424d533d18a504,candidate capture sequence requiring human verification
capture_review_a524f9111287,dataset/train/Algal leaf spot/2025_12_21_IMG (4).JPG,2025_12_21_IMG (4).JPG,Algal leaf spot,train,2025-12-21,4,sequence_0011,3,C,2,0.0118020446971058,pair_1c33999f614eb4700154,candidate capture sequence requiring human verification
capture_review_227f47fdc145,dataset/test/Algal leaf spot/2025_12_21_IMG (20).JPG,2025_12_21_IMG (20).JPG,Algal leaf spot,test,2025-12-21,20,sequence_0012,3,C,0,0.0070165693759918,pair_dc48a30a3be0a4e62c2e,candidate capture sequence requiring human verification
capture_review_227f47fdc145,dataset/train/Algal leaf spot/2025_12_21_IMG (18).JPG,2025_12_21_IMG (18).JPG,Algal leaf spot,train,2025-12-21,18,sequence_0012,3,C,2,0.0077263326384127,pair_44da54fd470131530fa3,candidate capture sequence requiring human verification
capture_review_227f47fdc145,dataset/train/Algal leaf spot/2025_12_21_IMG (19).JPG,2025_12_21_IMG (19).JPG,Algal leaf spot,train,2025-12-21,19,sequence_0012,3,C,2,0.0077263326384127,pair_44da54fd470131530fa3|pair_dc48a30a3be0a4e62c2e,candidate capture sequence requiring human verification
capture_review_0ff3bf07848e,dataset/test/Algal leaf spot/2025_12_21_IMG (206).JPG,2025_12_21_IMG (206).JPG,Algal leaf spot,test,2025-12-21,206,sequence_0013,3,C,2,0.0085063064470887,pair_7c40997e40bdfcd1bf01,candidate capture sequence requiring human verification
capture_review_0ff3bf07848e,dataset/train/Algal leaf spot/2025_12_21_IMG (204).JPG,2025_12_21_IMG (204).JPG,Algal leaf spot,train,2025-12-21,204,sequence_0013,3,C,4,0.02742800116539,pair_f23044ef51af4d430d33,candidate capture sequence requiring human verification
capture_review_0ff3bf07848e,dataset/val/Algal leaf spot/2025_12_21_IMG (205).JPG,2025_12_21_IMG (205).JPG,Algal leaf spot,val,2025-12-21,205,sequence_0013,3,C,4,0.02742800116539,pair_7c40997e40bdfcd1bf01|pair_f23044ef51af4d430d33,candidate capture sequence requiring human verification
capture_review_59a61e8aef26,dataset/test/Algal leaf spot/2025_12_21_IMG (227).JPG,2025_12_21_IMG (227).JPG,Algal leaf spot,test,2025-12-21,227,sequence_0015,2,C,0,0.0199505984783172,pair_59a61e8aef26580a5b63,candidate capture sequence requiring human verification
capture_review_59a61e8aef26,dataset/train/Algal leaf spot/2025_12_21_IMG (226).JPG,2025_12_21_IMG (226).JPG,Algal leaf spot,train,2025-12-21,226,sequence_0015,2,C,0,0.0199505984783172,pair_59a61e8aef26580a5b63,candidate capture sequence requiring human verification
capture_review_4729322ffd5a,dataset/test/Algal leaf spot/2025_12_21_IMG (234).JPG,2025_12_21_IMG (234).JPG,Algal leaf spot,test,2025-12-21,234,sequence_0016,2,C,4,0.0096204169094562,pair_4729322ffd5a13d9199b,candidate capture sequence requiring human verification
capture_review_4729322ffd5a,dataset/train/Algal leaf spot/2025_12_21_IMG (235).JPG,2025_12_21_IMG (235).JPG,Algal leaf spot,train,2025-12-21,235,sequence_0016,2,C,4,0.0096204169094562,pair_4729322ffd5a13d9199b,candidate capture sequence requiring human verification
capture_review_e8e1140a025d,dataset/test/Algal leaf spot/2025_12_21_IMG (256).JPG,2025_12_21_IMG (256).JPG,Algal leaf spot,test,2025-12-21,256,sequence_0017,2,C,4,0.0125826569274067,pair_e8e1140a025d0fd8ff05,candidate capture sequence requiring human verification
capture_review_e8e1140a025d,dataset/val/Algal leaf spot/2025_12_21_IMG (257).JPG,2025_12_21_IMG (257).JPG,Algal leaf spot,val,2025-12-21,257,sequence_0017,2,C,4,0.0125826569274067,pair_e8e1140a025d0fd8ff05,candidate capture sequence requiring human verification
capture_review_5f7f1d831b99,dataset/test/Algal leaf spot/2025_12_21_IMG (258).JPG,2025_12_21_IMG (258).JPG,Algal leaf spot,test,2025-12-21,258,sequence_0018,2,C,2,0.0164474193006753,pair_5f7f1d831b991dc4bbd0,candidate capture sequence requiring human verification
capture_review_5f7f1d831b99,dataset/train/Algal leaf spot/2025_12_21_IMG (259).JPG,2025_12_21_IMG (259).JPG,Algal leaf spot,train,2025-12-21,259,sequence_0018,2,C,2,0.0164474193006753,pair_5f7f1d831b991dc4bbd0,candidate capture sequence requiring human verification
capture_review_225ec2fde8ca,dataset/test/Algal leaf spot/2025_12_21_IMG (274).JPG,2025_12_21_IMG (274).JPG,Algal leaf spot,test,2025-12-21,274,sequence_0019,2,C,0,0.0088321454823017,pair_225ec2fde8ca6b67a8b9,candidate capture sequence requiring human verification
capture_review_225ec2fde8ca,dataset/train/Algal leaf spot/2025_12_21_IMG (275).JPG,2025_12_21_IMG (275).JPG,Algal leaf spot,train,2025-12-21,275,sequence_0019,2,C,0,0.0088321454823017,pair_225ec2fde8ca6b67a8b9,candidate capture sequence requiring human verification
capture_review_d6b8c2420eb8,dataset/test/Algal leaf spot/2025_12_21_IMG (294).JPG,2025_12_21_IMG (294).JPG,Algal leaf spot,test,2025-12-21,294,sequence_0020,2,C,2,0.0168418735265731,pair_d6b8c2420eb835bd0787,candidate capture sequence requiring human verification
capture_review_d6b8c2420eb8,dataset/train/Algal leaf spot/2025_12_21_IMG (295).JPG,2025_12_21_IMG (295).JPG,Algal leaf spot,train,2025-12-21,295,sequence_0020,2,C,2,0.0168418735265731,pair_d6b8c2420eb835bd0787,candidate capture sequence requiring human verification
capture_review_3cfc787c451d,dataset/test/Algal leaf spot/2025_12_21_IMG (305).JPG,2025_12_21_IMG (305).JPG,Algal leaf spot,test,2025-12-21,305,sequence_0021,2,C,0,0.0141560062766075,pair_3cfc787c451de61ba43b,candidate capture sequence requiring human verification
capture_review_3cfc787c451d,dataset/train/Algal leaf spot/2025_12_21_IMG (304).JPG,2025_12_21_IMG (304).JPG,Algal leaf spot,train,2025-12-21,304,sequence_0021,2,C,0,0.0141560062766075,pair_3cfc787c451de61ba43b,candidate capture sequence requiring human verification
capture_review_9770bad0e04d,dataset/test/Algal leaf spot/2025_12_21_IMG (78).JPG,2025_12_21_IMG (78).JPG,Algal leaf spot,test,2025-12-21,78,sequence_0022,3,C,0,0.0040862434543669,pair_a31d831e1a804b20d64e,candidate capture sequence requiring human verification
capture_review_9770bad0e04d,dataset/test/Algal leaf spot/2025_12_21_IMG (79).JPG,2025_12_21_IMG (79).JPG,Algal leaf spot,test,2025-12-21,79,sequence_0022,3,C,2,0.0123024536296725,pair_4f8a6447cee48f90fca1|pair_a31d831e1a804b20d64e,candidate capture sequence requiring human verification
capture_review_9770bad0e04d,dataset/train/Algal leaf spot/2025_12_21_IMG (80).JPG,2025_12_21_IMG (80).JPG,Algal leaf spot,train,2025-12-21,80,sequence_0022,3,C,2,0.0123024536296725,pair_4f8a6447cee48f90fca1,candidate capture sequence requiring human verification
capture_review_e5c1a9af334b,dataset/test/Black spot/2025_12_20_IMG (101).JPG,2025_12_20_IMG (101).JPG,Black spot,test,2025-12-20,101,sequence_0023,2,C,0,0.0245570372790098,pair_e5c1a9af334b9c0fe74a,candidate capture sequence requiring human verification
capture_review_e5c1a9af334b,dataset/train/Black spot/2025_12_20_IMG (102).JPG,2025_12_20_IMG (102).JPG,Black spot,train,2025-12-20,102,sequence_0023,2,C,0,0.0245570372790098,pair_e5c1a9af334b9c0fe74a,candidate capture sequence requiring human verification
capture_review_bd2ddd7b8cf5,dataset/test/Black spot/2025_12_20_IMG (110).JPG,2025_12_20_IMG (110).JPG,Black spot,test,2025-12-20,110,sequence_0024,3,C,2,0.0123962806537747,pair_edab64f1705a2cb940cd,candidate capture sequence requiring human verification
capture_review_bd2ddd7b8cf5,dataset/test/Black spot/2025_12_20_IMG (112).JPG,2025_12_20_IMG (112).JPG,Black spot,test,2025-12-20,112,sequence_0024,3,C,0,0.0130926379933953,pair_11d969dc2b7c8b39ac85,candidate capture sequence requiring human verification
capture_review_bd2ddd7b8cf5,dataset/val/Black spot/2025_12_20_IMG (111).JPG,2025_12_20_IMG (111).JPG,Black spot,val,2025-12-20,111,sequence_0024,3,C,2,0.0130926379933953,pair_11d969dc2b7c8b39ac85|pair_edab64f1705a2cb940cd,candidate capture sequence requiring human verification
capture_review_e188f82a25f5,dataset/test/Black spot/2025_12_20_IMG (135).JPG,2025_12_20_IMG (135).JPG,Black spot,test,2025-12-20,135,sequence_0025,3,C,2,0.0166851785033941,pair_aab7af11cf044b0f4fcc,candidate capture sequence requiring human verification
capture_review_e188f82a25f5,dataset/train/Black spot/2025_12_20_IMG (133).JPG,2025_12_20_IMG (133).JPG,Black spot,train,2025-12-20,133,sequence_0025,3,C,2,0.0167330484837293,pair_0b093d169482aa9f340e,candidate capture sequence requiring human verification
capture_review_e188f82a25f5,dataset/train/Black spot/2025_12_20_IMG (134).JPG,2025_12_20_IMG (134).JPG,Black spot,train,2025-12-20,134,sequence_0025,3,C,2,0.0167330484837293,pair_0b093d169482aa9f340e|pair_aab7af11cf044b0f4fcc,candidate capture sequence requiring human verification
capture_review_2d1e9ed6f704,dataset/test/Black spot/2025_12_20_IMG (139).JPG,2025_12_20_IMG (139).JPG,Black spot,test,2025-12-20,139,sequence_0026,3,C,2,0.0111596202477812,pair_e6510e2dbdda70c62009,candidate capture sequence requiring human verification
capture_review_2d1e9ed6f704,dataset/test/Black spot/2025_12_20_IMG (141).JPG,2025_12_20_IMG (141).JPG,Black spot,test,2025-12-20,141,sequence_0026,3,C,2,0.0118770422413945,pair_668442580264965e0a93,candidate capture sequence requiring human verification
capture_review_2d1e9ed6f704,dataset/train/Black spot/2025_12_20_IMG (140).JPG,2025_12_20_IMG (140).JPG,Black spot,train,2025-12-20,140,sequence_0026,3,C,2,0.0118770422413945,pair_668442580264965e0a93|pair_e6510e2dbdda70c62009,candidate capture sequence requiring human verification
capture_review_2ab4b310c67a,dataset/test/Black spot/2025_12_20_IMG (146).JPG,2025_12_20_IMG (146).JPG,Black spot,test,2025-12-20,146,sequence_0028,2,C,0,0.0089004412293434,pair_2ab4b310c67a44fbd521,candidate capture sequence requiring human verification
capture_review_2ab4b310c67a,dataset/val/Black spot/2025_12_20_IMG (145).JPG,2025_12_20_IMG (145).JPG,Black spot,val,2025-12-20,145,sequence_0028,2,C,0,0.0089004412293434,pair_2ab4b310c67a44fbd521,candidate capture sequence requiring human verification
capture_review_1d9678708e96,dataset/test/Black spot/2025_12_20_IMG (156).JPG,2025_12_20_IMG (156).JPG,Black spot,test,2025-12-20,156,sequence_0029,2,C,2,0.023514412343502,pair_1d9678708e963a949452,candidate capture sequence requiring human verification
capture_review_1d9678708e96,dataset/train/Black spot/2025_12_20_IMG (157).JPG,2025_12_20_IMG (157).JPG,Black spot,train,2025-12-20,157,sequence_0029,2,C,2,0.023514412343502,pair_1d9678708e963a949452,candidate capture sequence requiring human verification
capture_review_90ba277ad92c,dataset/test/Black spot/2025_12_20_IMG (199).JPG,2025_12_20_IMG (199).JPG,Black spot,test,2025-12-20,199,sequence_0030,2,C,2,0.0209453497081995,pair_90ba277ad92c2779cee0,candidate capture sequence requiring human verification
capture_review_90ba277ad92c,dataset/train/Black spot/2025_12_20_IMG (198).JPG,2025_12_20_IMG (198).JPG,Black spot,train,2025-12-20,198,sequence_0030,2,C,2,0.0209453497081995,pair_90ba277ad92c2779cee0,candidate capture sequence requiring human verification
capture_review_110fbc47b7cb,dataset/test/Black spot/2025_12_20_IMG (20).JPG,2025_12_20_IMG (20).JPG,Black spot,test,2025-12-20,20,sequence_0031,3,C,2,0.0184321384876966,pair_f6548f83156a3b7cf662,candidate capture sequence requiring human verification
capture_review_110fbc47b7cb,dataset/train/Black spot/2025_12_20_IMG (21).JPG,2025_12_20_IMG (21).JPG,Black spot,train,2025-12-20,21,sequence_0031,3,C,2,0.0192357283085584,pair_054666c643ba0998a793|pair_f6548f83156a3b7cf662,candidate capture sequence requiring human verification
capture_review_110fbc47b7cb,dataset/train/Black spot/2025_12_20_IMG (22).JPG,2025_12_20_IMG (22).JPG,Black spot,train,2025-12-20,22,sequence_0031,3,C,2,0.0192357283085584,pair_054666c643ba0998a793,candidate capture sequence requiring human verification
capture_review_0708f46097e0,dataset/test/Black spot/2025_12_20_IMG (206).JPG,2025_12_20_IMG (206).JPG,Black spot,test,2025-12-20,206,sequence_0032,2,C,4,0.0245302263647317,pair_0708f46097e0a4e00064,candidate capture sequence requiring human verification
