filepath_a,filepath_b,sources,is_audit_near_candidate,is_filename_neighbor,existing_dhash_distance,dhash_distance,phash_a,phash_b,phash_distance,normalized_pixel_mae,color_histogram_intersection,category,category_label,review_status,filename_a,class_a,split_a,sha256_a,filename_b,class_b,split_b,sha256_b,cross_split,split_combination,class_comparison,same_class_date,filename_number_gap
dataset/test/Algal leaf spot/2025_12_21_IMG (101).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (100).JPG,filename_neighbor,False,True,,31,3f1fc0708e629563,6a4a912dcb36c1f2,28,0.18746107816696167,0.7024739583333334,E,weak candidate / likely false positive,requires human verification,2025_12_21_IMG (101).JPG,Algal leaf spot,test,7c526bef19c885bdcacf9994c28050858f9af434bdb5db84636c7a949cab3378,2025_12_21_IMG (100).JPG,Algal leaf spot,train,19b1a10eb5c858a573da6cc499779aeea7ac495c9b77e1e58b2d9862c97de22f,True,train-test,Algal leaf spot,True,1.0
dataset/test/Algal leaf spot/2025_12_21_IMG (101).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (102).JPG,audit_near_candidate|filename_neighbor,True,True,6.0,6,3f1fc0708e629563,7f9fc0708e609463,4,0.04486921802163124,0.9239095052083334,D,visually similar but uncertain,requires human verification,2025_12_21_IMG (101).JPG,Algal leaf spot,test,7c526bef19c885bdcacf9994c28050858f9af434bdb5db84636c7a949cab3378,2025_12_21_IMG (102).JPG,Algal leaf spot,train,a6798ec47d6e4b1a9932b7f31e1104e88c8a4aed495e78324980541736ace8bb,True,train-test,Algal leaf spot,True,1.0
dataset/test/Algal leaf spot/2025_12_21_IMG (11).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (10).JPG,audit_near_candidate|filename_neighbor,True,True,2.0,2,3064cb32cf33cc33,3064c336cf32ce33,4,0.014656417071819305,0.96728515625,C,probable near duplicate,requires human verification,2025_12_21_IMG (11).JPG,Algal leaf spot,test,3889cb7e5b45e5efac5e5ca3e354be16c8e087017b5d380a3db9b5b757b89f31,2025_12_21_IMG (10).JPG,Algal leaf spot,train,58664ae5dc9734d41cd6b671c3621f754a812fad92207412080cf15732108eaa,True,train-test,Algal leaf spot,True,1.0
dataset/test/Algal leaf spot/2025_12_21_IMG (11).JPG,dataset/val/Algal leaf spot/2025_12_21_IMG (12).JPG,filename_neighbor,False,True,,38,3064cb32cf33cc33,7b40852fdab48933,24,0.19461102783679962,0.5642903645833334,E,weak candidate / likely false positive,requires human verification,2025_12_21_IMG (11).JPG,Algal leaf spot,test,3889cb7e5b45e5efac5e5ca3e354be16c8e087017b5d380a3db9b5b757b89f31,2025_12_21_IMG (12).JPG,Algal leaf spot,val,048c66aa2d49ab2395db79c51b544aab916388bda0bdd81d3813176ba805c21e,True,val-test,Algal leaf spot,True,1.0
dataset/test/Algal leaf spot/2025_12_21_IMG (110).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (109).JPG,filename_neighbor,False,True,,32,6ae1c50e979e3a60,7b72d0b942c445ce,36,0.1463295966386795,0.7587076822916666,E,weak candidate / likely false positive,requires human verification,2025_12_21_IMG (110).JPG,Algal leaf spot,test,2278d11c6727ac669d2a668f358b36525150a25621ffdb46ca5f168cc1342e4a,2025_12_21_IMG (109).JPG,Algal leaf spot,train,31febe4292d8c8c61863f3301da4ca8ac69877f8dd58bd081d64ad35f949ae9c,True,train-test,Algal leaf spot,True,1.0
dataset/test/Algal leaf spot/2025_12_21_IMG (110).JPG,dataset/val/Algal leaf spot/2025_12_21_IMG (111).JPG,audit_near_candidate|filename_neighbor,True,True,4.0,4,6ae1c50e979e3a60,6b61812e979c3ed0,10,0.03747798129916191,0.9512532552083334,D,visually similar but uncertain,requires human verification,2025_12_21_IMG (110).JPG,Algal leaf spot,test,2278d11c6727ac669d2a668f358b36525150a25621ffdb46ca5f168cc1342e4a,2025_12_21_IMG (111).JPG,Algal leaf spot,val,0d8be39eef338e84fb1922386c65445997c66bdd78e8a3cf0271c3a943abde5f,True,val-test,Algal leaf spot,True,1.0
dataset/test/Algal leaf spot/2025_12_21_IMG (112).JPG,dataset/test/Algal leaf spot/2025_12_21_IMG (113).JPG,filename_neighbor,False,True,,7,63319cc69b49994d,633395c693499369,8,0.03591771423816681,0.9583333333333334,D,visually similar but uncertain,requires human verification,2025_12_21_IMG (112).JPG,Algal leaf spot,test,219fcfaf90f39be0f3c45640ae3811ad94510b8c8407076d0c367388e95d69d5,2025_12_21_IMG (113).JPG,Algal leaf spot,test,0a6d4528246a7f07ad83658ba2818c6f26e5ffb68d6d8da36730cbf18e46b651,False,test,Algal leaf spot,True,1.0
dataset/test/Algal leaf spot/2025_12_21_IMG (112).JPG,dataset/val/Algal leaf spot/2025_12_21_IMG (111).JPG,filename_neighbor,False,True,,32,63319cc69b49994d,6b61812e979c3ed0,28,0.19471891224384308,0.45654296875,E,weak candidate / likely false positive,requires human verification,2025_12_21_IMG (112).JPG,Algal leaf spot,test,219fcfaf90f39be0f3c45640ae3811ad94510b8c8407076d0c367388e95d69d5,2025_12_21_IMG (111).JPG,Algal leaf spot,val,0d8be39eef338e84fb1922386c65445997c66bdd78e8a3cf0271c3a943abde5f,True,val-test,Algal leaf spot,True,1.0
dataset/test/Algal leaf spot/2025_12_21_IMG (113).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (114).JPG,filename_neighbor,False,True,,37,633395c693499369,7a4ac0250bd43fcb,32,0.201904296875,0.4443359375,E,weak candidate / likely false positive,requires human verification,2025_12_21_IMG (113).JPG,Algal leaf spot,test,0a6d4528246a7f07ad83658ba2818c6f26e5ffb68d6d8da36730cbf18e46b651,2025_12_21_IMG (114).JPG,Algal leaf spot,train,7b25e0a5d22a0102b1d5e8709ef353a6528818540ab2ea334b61f1abc1304383,True,train-test,Algal leaf spot,True,1.0
dataset/test/Algal leaf spot/2025_12_21_IMG (119).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (118).JPG,audit_near_candidate|filename_neighbor,True,True,2.0,2,6a359c469bcc83c9,6a359c469bcc83c9,0,0.02386993169784546,0.9026692708333334,D,visually similar but uncertain,requires human verification,2025_12_21_IMG (119).JPG,Algal leaf spot,test,5f85c280d4ddfe68e5eae343584b3d6e8a94b6192b4180ab42ddba48cd131c96,2025_12_21_IMG (118).JPG,Algal leaf spot,train,6cf305dd9b11191de88311b7639279879c06e1949cc57aaa6c2d3e932019421e,True,train-test,Algal leaf spot,True,1.0
