filepath_a,filepath_b,source_group_id,group_reason
dataset/test/Algal leaf spot/2025_12_21_IMG (199).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (198).JPG,source_c675a18ac664f80146874d136518305abe8d705d38fbc96f48850a84cd3a21c6,human_SAME_SOURCE
dataset/test/Black spot/2025_12_20_IMG (53).JPG,dataset/train/Black spot/2025_12_20_IMG (54).JPG,source_a3cee3700e33f1bf8d93ebe87599cf099d0c32cf36f684cc8656160e66ecfcde,human_SAME_SOURCE
dataset/test/Citrus pest/2025_12_20_IMG (404).JPG,dataset/train/Citrus pest/2025_12_20_IMG (402).JPG,source_554f8c918c9a8fa5e90ff6c9496bcc3cebf08e932a425ea1a37b7360869b1a91,human_SAME_SOURCE
dataset/test/Healthy leaf/2025_11_21_IMG (135).JPG,dataset/val/Healthy leaf/2025_11_21_IMG (136).JPG,source_24d747179b55535b69c885aa3f16f160c4ad121a0555b9ce433d1141b6fa2a85,AB_pair_evidence;autofilled_SAME_SOURCE;exact_sha256;existing_AB_cluster;existing_AB_manifest;refined_capture_strong_link;strict_multimetric
dataset/test/Healthy leaf/2025_11_21_IMG (254).JPG,dataset/val/Healthy leaf/2025_11_21_IMG (253).JPG,source_eed8e07c9747971159709a70e5282e19206e36ed678780d15d75d20f083e7251,AB_pair_evidence;autofilled_SAME_SOURCE;existing_AB_cluster;existing_AB_manifest;refined_capture_strong_link;strict_multimetric
dataset/test/Healthy leaf/2025_11_21_IMG (256).JPG,dataset/val/Healthy leaf/2025_11_21_IMG (257).JPG,source_c6d02a270df87a2af6a81b8d95aede83641ea55811c0ddd1f985e764d35a88da,AB_pair_evidence;autofilled_SAME_SOURCE;existing_AB_cluster;existing_AB_manifest;refined_capture_strong_link;strict_multimetric
dataset/test/Healthy leaf/2025_11_21_IMG (292).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (289).JPG,source_5f186c4100725e991342a71eb2afd0fbdb17931d24dc144e1c35e47231df156e,AB_pair_evidence;existing_AB_cluster;existing_AB_manifest
dataset/test/Healthy leaf/2025_11_21_IMG (292).JPG,dataset/train/Healthy leaf/2025_11_21_IMG (290).JPG,source_5f186c4100725e991342a71eb2afd0fbdb17931d24dc144e1c35e47231df156e,AB_pair_evidence;existing_AB_cluster;existing_AB_manifest
dataset/test/Healthy leaf/2025_11_21_IMG (292).JPG,dataset/val/Healthy leaf/2025_11_21_IMG (291).JPG,source_5f186c4100725e991342a71eb2afd0fbdb17931d24dc144e1c35e47231df156e,AB_pair_evidence;existing_AB_cluster;existing_AB_manifest;refined_capture_strong_link
dataset/train/Algal leaf spot/2025_12_21_IMG (182).JPG,dataset/val/Algal leaf spot/2025_12_21_IMG (183).JPG,source_9f8428736efec73da6862376a7a55e0ab4c6187ec54bc49ac930803f651750d2,human_SAME_SOURCE
