source_group_id,class,group_size,new_split,group_reason
source_00282d481462ab4f866336bbea771c5c482435d8e7a793309b6bce428fa0ff9d,Citrus pest,1,train,singleton_no_enforced_relationship
source_003b39512620a3a64d5e71c8b599f8e519ddc8e4b36caf54e88ca919715c7c48,Citrus pest,1,val,singleton_no_enforced_relationship
source_0051b93f95d958ed7415af220f284791a16e121942232702dfd601f12c621bc5,Greening,1,train,singleton_no_enforced_relationship
source_00718269bf464c48e2798bb59698138ae94e7f21841cd4275edfcf9d0ece0139,Greening,1,test,singleton_no_enforced_relationship
source_007315a578f60391f36136dd9929e48a3ba964dcf8aee636eb9359a0e17ec8af,Black spot,1,train,singleton_no_enforced_relationship
source_00824bdf912f0f7c79f7315feff156511085af55826c9bf9c42f57c489d8bdbc,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_00b3395fdbdb2a42144804db1d8fb19b2373e7a585215dd24ed636f0ad748d45,Greening,1,val,singleton_no_enforced_relationship
source_00bf9e8174063c981759195715a944055232a557a223a8e4f8523b03a2b85968,Citrus pest,1,train,singleton_no_enforced_relationship
source_00d51fabab919bd71feed0e87e07255419c8dc1f184598c77f0f3bed139cc116,Citrus canker,1,train,singleton_no_enforced_relationship
source_00f17016cac85665bb08e503d29af2dca0ac30661068e1ef6a574840df1dacce,Greening,1,train,singleton_no_enforced_relationship
source_0126167f3cd2e0110f01013a37b666745b01776fbf3758b4f2abb2ba1b5e959f,Citrus canker,1,train,singleton_no_enforced_relationship
source_013660471e73c73f423631cb7be14a734a0e80fe6ba7d58397e89bd77436d009,Black spot,1,train,singleton_no_enforced_relationship
source_0139ed88c5b3f25cd13db6271f2c912f44e1793480807ae56a060581ea5813d1,Citrus pest,1,test,singleton_no_enforced_relationship
source_0140f65ea661d124544d8dc54dd9b5440b57306823a236af1bad313002368993,Algal leaf spot,1,train,singleton_no_enforced_relationship
source_0191ded32b00d39521be4b68823cc32935df679aaeeef68bd185d3df41395022,Healthy leaf,1,train,singleton_no_enforced_relationship
source_01d8eb5b4734736d443fea61961ced03eb116c1f6c3d9b0e6a28b495e4f41932,Healthy leaf,1,train,singleton_no_enforced_relationship
