filepath_a,filepath_b,sources,is_audit_near_candidate,is_filename_neighbor,existing_dhash_distance,dhash_distance,phash_a,phash_b,phash_distance,normalized_pixel_mae,color_histogram_intersection,category,category_label,review_status,filename_a,class_a,split_a,sha256_a,filename_b,class_b,split_b,sha256_b,cross_split,split_combination,class_comparison,same_class_date,filename_number_gap,saved_decision,new_split_a,new_split_b
dataset/test/Algal leaf spot/2025_12_21_IMG (119).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (118).JPG,audit_near_candidate|filename_neighbor,True,True,2.0,2,6a359c469bcc83c9,6a359c469bcc83c9,0,0.0238699316978454,0.9026692708333334,D,visually similar but uncertain,requires human verification,2025_12_21_IMG (119).JPG,Algal leaf spot,test,5f85c280d4ddfe68e5eae343584b3d6e8a94b6192b4180ab42ddba48cd131c96,2025_12_21_IMG (118).JPG,Algal leaf spot,train,6cf305dd9b11191de88311b7639279879c06e1949cc57aaa6c2d3e932019421e,True,train-test,Algal leaf spot,True,1.0,,val,train
dataset/test/Algal leaf spot/2025_12_21_IMG (119).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (120).JPG,audit_near_candidate|filename_neighbor,True,True,5.0,5,6a359c469bcc83c9,6b359c4693cc92c9,4,0.0175567418336868,0.9706217447916666,C,probable near duplicate,requires human verification,2025_12_21_IMG (119).JPG,Algal leaf spot,test,5f85c280d4ddfe68e5eae343584b3d6e8a94b6192b4180ab42ddba48cd131c96,2025_12_21_IMG (120).JPG,Algal leaf spot,train,fbe880fb61b35acadc63df2a8e3ac6abbb43b6e2b57e9023fb754710b2d5b18a,True,train-test,Algal leaf spot,True,1.0,,val,train
dataset/test/Algal leaf spot/2025_12_21_IMG (135).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (137).JPG,audit_near_candidate,True,False,1.0,1,219bc6398ec99c2d,319bc6398ec99c64,4,0.0134063521400094,0.9121907552083334,D,visually similar but uncertain,requires human verification,2025_12_21_IMG (135).JPG,Algal leaf spot,test,49fad4da16ea394ece9e4998fb33ea064c16e63b376e644cc5f9b76db9740777,2025_12_21_IMG (137).JPG,Algal leaf spot,train,c7baf52722a1e247c7cb2a7386d3a27cb82a9764352ac3a9ed306af726f5a0bd,True,train-test,Algal leaf spot,True,2.0,,test,train
dataset/test/Algal leaf spot/2025_12_21_IMG (135).JPG,dataset/val/Algal leaf spot/2025_12_21_IMG (136).JPG,audit_near_candidate|filename_neighbor,True,True,1.0,1,219bc6398ec99c2d,219bc6398ec98c6d,2,0.0149465128779411,0.9208170572916666,D,visually similar but uncertain,requires human verification,2025_12_21_IMG (135).JPG,Algal leaf spot,test,49fad4da16ea394ece9e4998fb33ea064c16e63b376e644cc5f9b76db9740777,2025_12_21_IMG (136).JPG,Algal leaf spot,val,0acdd2d557512de522a3ee1ce5337d70d53a9a189a1e0e6876012133e7889dd7,True,val-test,Algal leaf spot,True,1.0,,test,train
dataset/test/Algal leaf spot/2025_12_21_IMG (139).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (140).JPG,filename_neighbor,False,True,,8,2fc0948dda3e29e1,2fc09485da1e99f8,8,0.0515842027962207,0.8683268229166666,D,visually similar but uncertain,requires human verification,2025_12_21_IMG (139).JPG,Algal leaf spot,test,3f261f6ec0a49ee866eedfa6563dd0d33eb5eb0c564156af592d19ee78ea3ae9,2025_12_21_IMG (140).JPG,Algal leaf spot,train,00f9e6ede44cfb4e3f83d37a293cdee9f86f3e86696f6e368e2dd4502c9b5c87,True,train-test,Algal leaf spot,True,1.0,,train,val
dataset/test/Algal leaf spot/2025_12_21_IMG (141).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (142).JPG,audit_near_candidate|filename_neighbor,True,True,3.0,3,32bcc331ccc3ccc6,32bcc331ccc3ccc6,0,0.0085388580337166,0.9608561197916666,C,probable near duplicate,requires human verification,2025_12_21_IMG (141).JPG,Algal leaf spot,test,fa8c66ed153648b5f1e283b07c016110feca94f3c08f9ac965bc1a23413b5896,2025_12_21_IMG (142).JPG,Algal leaf spot,train,e002ddd5a2a886a74d6d51e45c525c3d129bd59a5b263d2bb4a4e1358f4ba9e3,True,train-test,Algal leaf spot,True,1.0,,val,train
dataset/test/Algal leaf spot/2025_12_21_IMG (170).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (168).JPG,audit_near_candidate,True,False,6.0,6,343cc370cfc38c93,346cc3628fc79c92,8,0.0387424044311046,0.7584635416666666,D,visually similar but uncertain,requires human verification,2025_12_21_IMG (170).JPG,Algal leaf spot,test,6c90f7b612c70542dbf57f65176a27acab6119765f62804d668acc64554cb19b,2025_12_21_IMG (168).JPG,Algal leaf spot,train,8080324ac1052599ef6caefa62fb43584f047b99f5ed210625d33dc7662896a2,True,train-test,Algal leaf spot,True,2.0,,train,test
dataset/test/Algal leaf spot/2025_12_21_IMG (188).JPG,dataset/val/Algal leaf spot/2025_12_21_IMG (187).JPG,audit_near_candidate|filename_neighbor,True,True,5.0,5,3464d036c336cbf2,3664d036c332cb73,4,0.0197204984724521,0.9403483072916666,C,probable near duplicate,requires human verification,2025_12_21_IMG (188).JPG,Algal leaf spot,test,e3c746768774f126a389923b363ee1766e2b0d975761efacf1e7d41a87c416cf,2025_12_21_IMG (187).JPG,Algal leaf spot,val,b2becd318e0f768b22717514f02ce73597d209ec195b0c02bdd34c7f4f76904b,True,val-test,Algal leaf spot,True,1.0,,train,test
dataset/test/Algal leaf spot/2025_12_21_IMG (2).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (3).JPG,audit_near_candidate|filename_neighbor,True,True,5.0,5,3465cb36cc38ce19,3465cf36cc38ce18,2,0.0223055183887481,0.9711100260416666,C,probable near duplicate,requires human verification,2025_12_21_IMG (2).JPG,Algal leaf spot,test,e8979abdcf2b95baf706c39b395524ef4998bf1c50b725c98d383ca0398fcee1,2025_12_21_IMG (3).JPG,Algal leaf spot,train,cb20b8bfb8ad70988eb874eba26985e0a66d2a883697ae3a1200d2d8c805062e,True,train-test,Algal leaf spot,True,1.0,,val,train
dataset/test/Algal leaf spot/2025_12_21_IMG (20).JPG,dataset/train/Algal leaf spot/2025_12_21_IMG (19).JPG,audit_near_candidate|filename_neighbor,True,True,2.0,2,3d61cb16cc39cc19,3d61cb16cc39cc19,0,0.0070165693759918,0.962646484375,C,probable near duplicate,requires human verification,2025_12_21_IMG (20).JPG,Algal leaf spot,test,8ab4687b01f5f79fec9fe001797d98fa5b2d05a3e2079f66a8bed773a245b6af,2025_12_21_IMG (19).JPG,Algal leaf spot,train,85e2ae7b13a4bc6d3ada1b23b19c941f46c24cb0a432a8fa05425309186cc0f2,True,train-test,Algal leaf spot,True,1.0,,train,val
