source,source_id_or_filepath,label,split,negative_type,notes,filepath,pixel_sha256
beans,beans_test/test/angular_leaf_spot/angular_leaf_spot_test.10.jpg,NOT_LEMON_LEAF,test,other_leaf,Official TFDS-referenced archive; category=angular_leaf_spot,data/leaf_validator/external/a87a4140a2fce72c93ce4a4aa13b9e38606b320af8046c4eb01026ddc02f931a.jpg,a87a4140a2fce72c93ce4a4aa13b9e38606b320af8046c4eb01026ddc02f931a
beans,beans_test/test/angular_leaf_spot/angular_leaf_spot_test.12.jpg,NOT_LEMON_LEAF,test,other_leaf,Official TFDS-referenced archive; category=angular_leaf_spot,data/leaf_validator/external/259062e54557ba3c20625c15be84173affa90b21b8305380ede6ff6a937f3517.jpg,259062e54557ba3c20625c15be84173affa90b21b8305380ede6ff6a937f3517
beans,beans_test/test/angular_leaf_spot/angular_leaf_spot_test.15.jpg,NOT_LEMON_LEAF,test,other_leaf,Official TFDS-referenced archive; category=angular_leaf_spot,data/leaf_validator/external/ce13ecc8a6951e6164fe1e388330c35991ed268e7cf4abc6512e11c58908fc46.jpg,ce13ecc8a6951e6164fe1e388330c35991ed268e7cf4abc6512e11c58908fc46
beans,beans_test/test/angular_leaf_spot/angular_leaf_spot_test.27.jpg,NOT_LEMON_LEAF,test,other_leaf,Official TFDS-referenced archive; category=angular_leaf_spot,data/leaf_validator/external/3e2bf84f8dcda68e7e4c66c90c0747b985e1c735a0028770387f22a6fc89b37e.jpg,3e2bf84f8dcda68e7e4c66c90c0747b985e1c735a0028770387f22a6fc89b37e
beans,beans_test/test/angular_leaf_spot/angular_leaf_spot_test.39.jpg,NOT_LEMON_LEAF,test,other_leaf,Official TFDS-referenced archive; category=angular_leaf_spot,data/leaf_validator/external/193a0a0a76f780933edcb19dde3a15b78e7168325b3c7ca28a4eb4e3194be169.jpg,193a0a0a76f780933edcb19dde3a15b78e7168325b3c7ca28a4eb4e3194be169
beans,beans_test/test/angular_leaf_spot/angular_leaf_spot_test.4.jpg,NOT_LEMON_LEAF,test,other_leaf,Official TFDS-referenced archive; category=angular_leaf_spot,data/leaf_validator/external/0f105f3812f627c6db6abeda1ee694dc9bdb16cfe535170e2019b5d1d7943bad.jpg,0f105f3812f627c6db6abeda1ee694dc9bdb16cfe535170e2019b5d1d7943bad
beans,beans_test/test/angular_leaf_spot/angular_leaf_spot_test.40.jpg,NOT_LEMON_LEAF,test,other_leaf,Official TFDS-referenced archive; category=angular_leaf_spot,data/leaf_validator/external/f1d96633b443548a28085e421288bd9ab7c97e6540a63fffa8c149593ef9c513.jpg,f1d96633b443548a28085e421288bd9ab7c97e6540a63fffa8c149593ef9c513
beans,beans_test/test/angular_leaf_spot/angular_leaf_spot_test.5.jpg,NOT_LEMON_LEAF,test,other_leaf,Official TFDS-referenced archive; category=angular_leaf_spot,data/leaf_validator/external/7d13d4e9b8cbb9b071067f21a6389200b7208754193a59e57c25f40e5636ccdf.jpg,7d13d4e9b8cbb9b071067f21a6389200b7208754193a59e57c25f40e5636ccdf
beans,beans_test/test/angular_leaf_spot/angular_leaf_spot_test.7.jpg,NOT_LEMON_LEAF,test,other_leaf,Official TFDS-referenced archive; category=angular_leaf_spot,data/leaf_validator/external/2c7851ec194fba63ed2d2878da06f69b7871d178bc435a78074cdf49e2b47b2d.jpg,2c7851ec194fba63ed2d2878da06f69b7871d178bc435a78074cdf49e2b47b2d
beans,beans_test/test/bean_rust/bean_rust_test.26.jpg,NOT_LEMON_LEAF,test,other_leaf,Official TFDS-referenced archive; category=bean_rust,data/leaf_validator/external/876be0c0c33ba76ddc2577dfeafd66fe38547a4b715bb142bb1575ff93963078.jpg,876be0c0c33ba76ddc2577dfeafd66fe38547a4b715bb142bb1575ff93963078
